turnid	ROUGE1-R	MRR	Exact match	F1
37_8	1.000000	0.000000	0.000000	0.095238
37_9	1.000000		0.000000	0.133333
37_10	1.000000		0.000000	0.105263
37_11	0.769231		0.000000	0.151899
37_12	1.000000		0.000000	0.000000
38_2	1.000000		0.000000	0.352941
38_3	1.000000	0.000000	0.000000	0.181818
38_4	1.000000	0.250000	0.000000	0.103448
38_5	1.000000		0.000000	0.263158
38_6	1.000000	0.333333	0.000000	0.150000
38_7	1.000000	0.500000	0.000000	0.342857
38_8	1.000000	0.333333	0.000000	0.193548
39_2	1.000000		0.000000	0.081633
39_3	1.000000	0.000000	0.000000	0.160000
39_4	0.888889	0.000000	0.000000	0.244898
39_5	0.857143		0.000000	0.347826
39_6	1.000000		0.000000	0.153846
39_7	0.714286		0.000000	0.065574
39_8	0.636364	0.000000	0.000000	0.113208
39_9	0.833333	0.000000	0.000000	0.133333
40_2	0.833333	0.000000	0.000000	0.114286
40_3	1.000000		0.000000	0.156863
40_4	0.900000		0.000000	0.300000
40_5	1.000000			
40_6	1.000000		0.000000	0.000000
40_7	1.000000		0.000000	0.125000
40_8	1.000000	0.166667	0.000000	0.315789
40_9	1.000000	0.000000	0.000000	0.100000
40_10	0.777778	0.500000	0.000000	0.266667
41_2	0.736842		0.000000	0.147059
41_3	1.000000		0.000000	0.083333
41_4	1.000000		0.000000	0.179104
41_5	1.000000		0.000000	0.237288
41_6	0.857143	0.000000	0.000000	0.482759
41_7	1.000000		0.000000	0.000000
41_8	0.909091		0.000000	0.120000
41_9	0.857143	1.000000	0.000000	0.090909
42_2	1.000000		0.000000	0.064516
42_3	0.909091		0.000000	0.000000
42_4	0.900000	0.500000	0.000000	0.257143
42_5	0.875000		0.000000	0.000000
42_6	0.818182	0.000000	0.000000	0.122449
42_7	0.777778	0.000000	0.000000	0.240000
42_8	1.000000		0.000000	0.250000
43_2	0.727273	0.000000	0.000000	0.476190
43_3	0.705882	0.100000	0.000000	0.363636
43_4	0.750000		0.000000	0.186047
43_5	0.700000	1.000000	0.000000	0.920000
43_6	1.000000		0.000000	0.717949
43_7	0.750000	1.000000	0.000000	0.771429
43_8	0.933333		0.000000	0.102564
44_2	0.727273		0.000000	0.163265
