turnid	ROUGE1-R	MRR	Exact match	F1	ROUGEL-F1
368_4	0.625000	0.000000	0.000000	0.000000	0.000000
368_5	0.272727		0.000000	0.000000	0.000000
368_6	0.307692	0.000000	0.000000	0.109091	0.093750
368_7	0.250000	0.000000	0.000000	0.000000	0.054054
368_8	0.466667		0.000000	0.042553	0.078431
369_2	0.900000	0.000000	0.000000	0.000000	0.000000
369_3	0.833333		0.000000	0.000000	0.000000
369_4	0.750000	0.000000	0.000000	0.000000	0.000000
369_5	0.888889	0.000000	0.000000	0.444444	0.434783
369_6	0.875000		0.000000	0.000000	0.000000
369_7	0.764706	0.000000	0.000000	0.000000	0.000000
369_8	0.777778	1.000000	0.000000	0.226415	0.135593
369_9	0.705882	1.000000	0.000000	0.416667	0.428571
370_2	0.625000		0.000000	0.052632	0.047619
370_3	0.500000	0.000000	0.000000	0.060606	0.050000
370_4	0.333333		0.000000	0.074074	0.129032
370_5	0.555556		0.000000	0.000000	0.000000
370_6	0.500000		0.000000	0.150000	0.090909
370_7	0.714286		0.000000	0.102564	0.130435
371_2	0.700000		0.000000	0.000000	0.115385
371_3	0.571429				
371_4	0.571429		0.000000	0.000000	0.000000
371_5	0.666667		0.000000	0.000000	0.057143
371_6	0.714286		0.000000	0.060606	0.055556
372_2	0.545455	0.000000	0.000000	0.000000	0.000000
372_3	0.500000		0.000000	0.240000	0.175439
372_4	0.666667		0.000000	0.666667	0.705882
372_5	0.800000	0.000000	0.000000	0.000000	0.000000
372_6	0.666667		0.000000	0.052632	0.045455
372_7	0.333333		0.000000	0.000000	0.000000
373_2	0.222222	0.000000	0.000000	0.148148	0.181818
373_3	0.500000		0.000000	0.062500	0.055556
373_4	0.333333	0.000000	0.000000	0.054054	0.097561
373_5	0.733333	0.000000	0.000000	0.081633	0.075472
374_2	0.555556		0.000000	0.095238	0.122449
374_3	0.636364	0.000000	0.000000	0.117647	0.105263
374_4	0.625000		0.000000	0.136364	0.204082
374_5	0.777778		0.000000	0.102564	0.142857
375_2	0.615385		0.000000	0.318182	0.222222
375_3	0.538462		0.000000	0.173913	0.148148
375_4	0.500000		0.000000	0.230769	0.258065
375_5	0.666667		0.000000	0.333333	0.285714
375_6	0.150000		0.000000	0.071429	0.064516
375_7	0.363636		0.000000	0.190476	0.083333
376_2	1.000000		0.000000	0.243902	0.222222
376_3	1.000000		0.000000	0.416667	0.392857
376_4	1.000000		0.000000	0.171429	0.190476
376_5	0.625000		0.000000	0.358209	0.189189
376_6	0.290323		0.000000	0.176471	0.200000
376_7	0.769231	1.000000	0.000000	0.055556	0.047619
377_2	0.500000	0.000000	0.000000	0.000000	0.000000
377_3	0.333333	0.000000	0.000000	0.125000	0.162162
377_4	0.571429		0.000000	0.000000	0.095238
377_5	0.500000	0.000000	0.000000	0.042553	0.040000
378_2	0.800000	1.000000	0.000000	0.137931	0.121212
